   Compiling dytallix-contracts v0.1.0 (/Users/rickglenn/dytallix/smart-contracts)
   Compiling dytallix-node v0.1.0 (/Users/rickglenn/dytallix/blockchain-core)
   Compiling dytallix-lean-node v0.1.0 (/Users/rickglenn/dytallix/dytallix-lean-launch/node)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 18.77s
     Running `target/debug/dytallix-lean-node`
Secrets mode: Plain Keystore (dev) path=/Users/rickglenn/.dytallix/keystore — no passphrase required
Validator key loaded (64 bytes) via secure provider
Node listening on 0.0.0.0:3030
produced block height=33057 tx_total=0 successes=0
produced block height=33058 tx_total=0 successes=0
produced block height=33059 tx_total=0 successes=0
produced block height=33060 tx_total=0 successes=0
produced block height=33061 tx_total=0 successes=0
produced block height=33062 tx_total=0 successes=0
produced block height=33063 tx_total=0 successes=0
produced block height=33064 tx_total=0 successes=0
produced block height=33065 tx_total=0 successes=0
produced block height=33066 tx_total=0 successes=0
produced block height=33067 tx_total=0 successes=0
produced block height=33068 tx_total=0 successes=0
produced block height=33069 tx_total=0 successes=0
produced block height=33070 tx_total=0 successes=0
produced block height=33071 tx_total=0 successes=0
produced block height=33072 tx_total=0 successes=0
produced block height=33073 tx_total=0 successes=0
produced block height=33074 tx_total=0 successes=0
produced block height=33075 tx_total=0 successes=0
produced block height=33076 tx_total=0 successes=0
produced block height=33077 tx_total=0 successes=0
produced block height=33078 tx_total=0 successes=0
produced block height=33079 tx_total=0 successes=0
produced block height=33080 tx_total=0 successes=0
produced block height=33081 tx_total=0 successes=0
produced block height=33082 tx_total=0 successes=0
produced block height=33083 tx_total=0 successes=0
produced block height=33084 tx_total=0 successes=0
produced block height=33085 tx_total=0 successes=0
produced block height=33086 tx_total=0 successes=0
produced block height=33087 tx_total=0 successes=0
produced block height=33088 tx_total=0 successes=0
produced block height=33089 tx_total=0 successes=0
produced block height=33090 tx_total=0 successes=0
produced block height=33091 tx_total=0 successes=0
produced block height=33092 tx_total=0 successes=0
produced block height=33093 tx_total=0 successes=0
produced block height=33094 tx_total=0 successes=0
produced block height=33095 tx_total=0 successes=0
produced block height=33096 tx_total=0 successes=0
produced block height=33097 tx_total=0 successes=0
produced block height=33098 tx_total=0 successes=0
produced block height=33099 tx_total=0 successes=0
produced block height=33100 tx_total=0 successes=0
produced block height=33101 tx_total=0 successes=0
produced block height=33102 tx_total=0 successes=0
produced block height=33103 tx_total=0 successes=0
produced block height=33104 tx_total=0 successes=0
produced block height=33105 tx_total=0 successes=0
produced block height=33106 tx_total=0 successes=0
produced block height=33107 tx_total=0 successes=0
produced block height=33108 tx_total=0 successes=0
produced block height=33109 tx_total=0 successes=0
produced block height=33110 tx_total=0 successes=0
produced block height=33111 tx_total=0 successes=0
produced block height=33112 tx_total=0 successes=0
produced block height=33113 tx_total=0 successes=0
produced block height=33114 tx_total=0 successes=0
produced block height=33115 tx_total=0 successes=0
produced block height=33116 tx_total=0 successes=0
produced block height=33117 tx_total=0 successes=0
produced block height=33118 tx_total=0 successes=0
produced block height=33119 tx_total=0 successes=0
produced block height=33120 tx_total=0 successes=0
produced block height=33121 tx_total=0 successes=0
produced block height=33122 tx_total=0 successes=0
produced block height=33123 tx_total=0 successes=0
produced block height=33124 tx_total=0 successes=0
produced block height=33125 tx_total=0 successes=0
produced block height=33126 tx_total=0 successes=0
produced block height=33127 tx_total=0 successes=0
produced block height=33128 tx_total=0 successes=0
produced block height=33129 tx_total=0 successes=0
produced block height=33130 tx_total=0 successes=0
produced block height=33131 tx_total=0 successes=0
produced block height=33132 tx_total=0 successes=0
produced block height=33133 tx_total=0 successes=0
produced block height=33134 tx_total=0 successes=0
produced block height=33135 tx_total=0 successes=0
produced block height=33136 tx_total=0 successes=0
produced block height=33137 tx_total=0 successes=0
produced block height=33138 tx_total=0 successes=0
produced block height=33139 tx_total=0 successes=0
produced block height=33140 tx_total=0 successes=0
produced block height=33141 tx_total=0 successes=0
produced block height=33142 tx_total=0 successes=0
produced block height=33143 tx_total=0 successes=0
produced block height=33144 tx_total=0 successes=0
produced block height=33145 tx_total=0 successes=0
produced block height=33146 tx_total=0 successes=0
produced block height=33147 tx_total=0 successes=0
produced block height=33148 tx_total=0 successes=0
produced block height=33149 tx_total=0 successes=0
produced block height=33150 tx_total=0 successes=0
produced block height=33151 tx_total=0 successes=0
produced block height=33152 tx_total=0 successes=0
produced block height=33153 tx_total=0 successes=0
produced block height=33154 tx_total=0 successes=0
produced block height=33155 tx_total=0 successes=0
produced block height=33156 tx_total=0 successes=0
produced block height=33157 tx_total=0 successes=0
produced block height=33158 tx_total=0 successes=0
produced block height=33159 tx_total=0 successes=0
produced block height=33160 tx_total=0 successes=0
produced block height=33161 tx_total=0 successes=0
produced block height=33162 tx_total=0 successes=0
produced block height=33163 tx_total=0 successes=0
produced block height=33164 tx_total=0 successes=0
produced block height=33165 tx_total=0 successes=0
produced block height=33166 tx_total=0 successes=0
produced block height=33167 tx_total=0 successes=0
produced block height=33168 tx_total=0 successes=0
produced block height=33169 tx_total=0 successes=0
produced block height=33170 tx_total=0 successes=0
produced block height=33171 tx_total=0 successes=0
produced block height=33172 tx_total=0 successes=0
produced block height=33173 tx_total=0 successes=0
produced block height=33174 tx_total=0 successes=0
produced block height=33175 tx_total=0 successes=0
produced block height=33176 tx_total=0 successes=0
produced block height=33177 tx_total=0 successes=0
produced block height=33178 tx_total=0 successes=0
produced block height=33179 tx_total=0 successes=0
produced block height=33180 tx_total=0 successes=0
produced block height=33181 tx_total=0 successes=0
produced block height=33182 tx_total=0 successes=0
produced block height=33183 tx_total=0 successes=0
produced block height=33184 tx_total=0 successes=0
produced block height=33185 tx_total=0 successes=0
produced block height=33186 tx_total=0 successes=0
produced block height=33187 tx_total=0 successes=0
produced block height=33188 tx_total=0 successes=0
produced block height=33189 tx_total=0 successes=0
produced block height=33190 tx_total=0 successes=0
produced block height=33191 tx_total=0 successes=0
produced block height=33192 tx_total=0 successes=0
produced block height=33193 tx_total=0 successes=0
produced block height=33194 tx_total=0 successes=0
produced block height=33195 tx_total=0 successes=0
produced block height=33196 tx_total=0 successes=0
produced block height=33197 tx_total=0 successes=0
produced block height=33198 tx_total=0 successes=0
produced block height=33199 tx_total=0 successes=0
produced block height=33200 tx_total=0 successes=0
produced block height=33201 tx_total=0 successes=0
produced block height=33202 tx_total=0 successes=0
produced block height=33203 tx_total=0 successes=0
produced block height=33204 tx_total=0 successes=0
produced block height=33205 tx_total=0 successes=0
produced block height=33206 tx_total=0 successes=0
produced block height=33207 tx_total=0 successes=0
produced block height=33208 tx_total=0 successes=0
produced block height=33209 tx_total=0 successes=0
produced block height=33210 tx_total=0 successes=0
produced block height=33211 tx_total=0 successes=0
produced block height=33212 tx_total=0 successes=0
produced block height=33213 tx_total=0 successes=0
produced block height=33214 tx_total=0 successes=0
produced block height=33215 tx_total=0 successes=0
produced block height=33216 tx_total=0 successes=0
produced block height=33217 tx_total=0 successes=0
produced block height=33218 tx_total=0 successes=0
produced block height=33219 tx_total=0 successes=0
produced block height=33220 tx_total=0 successes=0
produced block height=33221 tx_total=0 successes=0
produced block height=33222 tx_total=0 successes=0
produced block height=33223 tx_total=0 successes=0
produced block height=33224 tx_total=0 successes=0
produced block height=33225 tx_total=0 successes=0
produced block height=33226 tx_total=0 successes=0
produced block height=33227 tx_total=0 successes=0
produced block height=33228 tx_total=0 successes=0
